127.0.0.1, 2021-04-03 12:40:48, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.033988
127.0.0.1, 2021-04-03 12:40:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.052105
127.0.0.1, 2021-04-03 12:40:48, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001002
127.0.0.1, 2021-04-03 12:40:48, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.005279
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/default/index, HTTP/1.1, 200, 0.366829
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/css/calendar.css, HTTP/1.1, 200, 0.007642
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003808
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.005812
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.016848
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.005600
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.007985
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/js/web2py.js, HTTP/1.1, 200, 0.031927
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.011114
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/js/calendar.js, HTTP/1.1, 200, 0.032931
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.011777
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/js/jquery.js, HTTP/1.1, 200, 0.046620
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.012895
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.018023
127.0.0.1, 2021-04-03 12:40:56, GET, /admin/static/_2.21.1/images/questions.png, HTTP/1.1, 200, 0.005037
127.0.0.1, 2021-04-03 12:40:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-04-03 12:41:00, POST, /admin/default/index, HTTP/1.1, 303, 0.014704
127.0.0.1, 2021-04-03 12:41:00, GET, /admin/default/site, HTTP/1.1, 200, 0.049981
127.0.0.1, 2021-04-03 12:41:00, GET, /admin/static/_2.21.1/images/folder.png, HTTP/1.1, 200, 0.004528
